table with row headers in column A and column headers in rows 5 to 7. Leading dots indicate subparts.,,,,,,,,,,,,
Table 10. Marital Status of the Population 15 Years and Over by Sex and Age: 2011,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,,,,,,
,,,,,,,,,,,,
Sex and age ,Total,,Marital status,,,,,,,,,
,,,Married2,,Widowed,,Divorced,,Separated,,Never married,
,Number ,Percent,Number ,Percent,Number ,Percent,Number ,Percent,Number ,Percent,Number ,Percent
Both sexes,"243,955",100,"123,901",50.8,"14,241",5.8,"24,441",10,"5,504",2.3,"75,868",31.1
   .15 to 17 years,"12,761",100,77,0.6,5,-,27,0.2,123,1,"12,529",98.2
   .18 to 24 years,"29,651",100,"2,833",9.6,20,0.1,279,0.9,385,1.3,"26,133",88.1
   .25 to 29 years,"21,382",100,"7,843",36.7,54,0.3,741,3.5,512,2.4,"12,232",57.2
   .30 to 34 years,"20,202",100,"11,344",56.2,65,0.3,"1,476",7.3,556,2.7,"6,761",33.5
   .35 to 39 years,"19,255",100,"12,281",63.8,129,0.7,"2,018",10.5,708,3.7,"4,119",21.4
   .40 to 44 years,"20,587",100,"13,536",65.8,178,0.9,"2,674",13,690,3.4,"3,509",17
   .45 to 49 years,"21,989",100,"14,392",65.5,401,1.8,"3,330",15.1,720,3.3,"3,146",14.3
   .50 to 54 years,"21,965",100,"14,606",66.5,642,2.9,"3,558",16.2,595,2.7,"2,564",11.7
   .55 to 59 years,"19,554",100,"13,149",67.2,830,4.2,"3,280",16.8,452,2.3,"1,843",9.4
   .60 to 64 years,"17,430",100,"11,647",66.8,"1,242",7.1,"2,908",16.7,324,1.9,"1,310",7.5
   .65 to 69 years,"12,160",100,"7,976",65.6,"1,459",12,"1,866",15.3,177,1.5,683,5.6
   .70 to 74 years,"9,254",100,"5,849",63.2,"1,805",19.5,"1,068",11.5,129,1.4,404,4.4
   .75 to 79 years,"7,088",100,"4,103",57.9,"2,013",28.4,630,8.9,73,1,269,3.8
   .80 to 84 years,"5,719",100,"2,666",46.6,"2,430",42.5,387,6.8,38,0.7,198,3.5
   .85 years and over,"4,957",100,"1,600",32.3,"2,968",59.9,199,4,22,0.4,168,3.4
, , , , , , , , , , , , 
Male,"118,871",100,"61,982",52.1,"2,931",2.5,"10,671",9,"2,410",2,"40,877",34.4
   .15 to 17 years,"6,570",100,36,0.5,-,-,19,0.3,59,0.9,"6,457",98.3
   .18 to 24 years,"15,081",100,"1,025",6.8,3,-,96,0.6,170,1.1,"13,787",91.4
   .25 to 29 years,"10,917",100,"3,416",31.3,12,0.1,300,2.8,206,1.9,"6,984",64
   .30 to 34 years,"10,067",100,"5,299",52.6,21,0.2,641,6.4,208,2.1,"3,898",38.7
   .35 to 39 years,"9,542",100,"6,068",63.6,46,0.5,821,8.6,314,3.3,"2,294",24
   .40 to 44 years,"10,172",100,"6,636",65.2,49,0.5,"1,202",11.8,309,3,"1,977",19.4
   .45 to 49 years,"10,800",100,"7,127",66,81,0.8,"1,542",14.3,320,3,"1,730",16
   .50 to 54 years,"10,695",100,"7,322",68.5,146,1.4,"1,608",15,236,2.2,"1,383",12.9
   .55 to 59 years,"9,499",100,"6,655",70.1,168,1.8,"1,480",15.6,208,2.2,989,10.4
   .60 to 64 years,"8,447",100,"6,092",72.1,256,3,"1,324",15.7,155,1.8,619,7.3
   .65 to 69 years,"5,600",100,"4,150",74.1,291,5.2,746,13.3,97,1.7,315,5.6
   .70 to 74 years,"4,242",100,"3,214",75.8,335,7.9,445,10.5,69,1.6,179,4.2
   .75 to 79 years,"3,065",100,"2,322",75.8,358,11.7,248,8.1,29,0.9,108,3.5
   .80 to 84 years,"2,370",100,"1,602",67.6,514,21.7,135,5.7,22,0.9,98,4.1
   .85 years and over,"1,804",100,"1,019",56.5,650,36,63,3.5,11,0.6,61,3.4
, , , , , , , , , , , , 
